Seriation_Number	Assemblage	3-7810573-0	1-1-0	2-2-3	3-9531340-3625667	3-9084376-0	3-3-0	3-3-3	3-3-3625667	4096907-4-4	3-3-1296770	3-1888019-3625667	3788775-3-3625667	3-3-2342531	3788775-4902816-3625667	3788775-1153711-3625667	3-6050581-3625667	3-3-6728259	2-4-300594	3-4228692-0	3-3-6223138	3-3274752-309094	2451618-3-0	3-6315639-3625667	7050812-3-0	8045419-4-2553709	3-3-4559521	3-3-7129088	3-443506-0	2-4-4	2-0-2	3208926-4-2553709	3-6336749-3625667	2-7339799-4	3-3-866702	5295387-7339799-4	3-3-5230840	1-4-4	2-4-6728956	2-4-2553709	4914601-3-0	3-3-6644849	3-3-5370535	3-4801773-0	3-2903230-3625667	3-3-2597035	3-3274752-3625667	9855154-3-0	3-467807-0
123	assemblage-695-371	0	0	0	0	0	78	0	279	0	0	74	37	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
123	assemblage-791-131	0	0	0	0	0	77	0	283	0	0	76	33	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16

124	assemblage-151-733	0	0	0	0	0	358	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	14
124	assemblage-695-371	0	0	0	0	0	78	0	279	0	0	74	37	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
124	assemblage-705-361	0	0	0	0	0	64	0	297	0	0	73	36	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9

125	assemblage-151-733	0	0	0	0	0	358	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	14
125	assemblage-695-371	0	0	0	0	0	78	0	279	0	0	74	37	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
125	assemblage-168-801	0	0	0	0	0	40	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14

126	assemblage-151-733	0	0	0	0	0	358	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	14
126	assemblage-695-371	0	0	0	0	0	78	0	279	0	0	74	37	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
126	assemblage-486-523	0	0	0	0	0	45	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	39	9	0	0	0	0	76	0	0	0	0	0	0	0	0	10

127	assemblage-151-733	0	0	0	0	0	358	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	14
127	assemblage-589-914	0	0	0	39	0	185	0	111	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	59	54	0	2
127	assemblage-628-778	0	0	0	0	0	128	0	161	0	0	11	0	0	0	0	11	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	178	0	0	2

