Seriation_Number	Assemblage	4-3398823-3	3128491-4-3	1-1-3	4-4-3242753	3-1-6082684	4-8034054-3	4-4-527897	4-4-5940319	4-1-2	4-6389093-9679342	4-9811105-4977722	931659-2-2	0-1-0	2610108-4-9679342	931659-2-9402471	3128491-4-6935916	4-2-1081999	5847693-4-3	1014608-4-8951103	4-9207126-2	4-488167-2	4-2583421-2	2-2-1	931659-2-1717574	4-6881239-2	4-5962044-3	8709997-4-3	4-0-3	4-18006-3	4018527-2-1	3-1-4	4-3671324-3	4299931-1-2	2255222-2-2	4-4-2304922	9049390-7537704-3	6279360-2-2	4067053-2-2	1871281-4-3	3-1-2	4-12348-4977722	7195954-4-3	127742-4-3	9049390-4-3	4-4-3	4-4-7252834	2959469-4-3	4-4-4977722	4-2-2	4-7777909-4977722	931659-2347877-2	4-4-9679342	4-5900093-9679342	4-4-5079040	7841482-2-2	4-8712003-3	4-4-6187429	4-2265196-4977722	4-2500284-3	4-4-8951103	4-6334714-3	4-4-7276571	4-3061366-3	4-4-2225908
191	assemblage-499-566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	16	0	0	0	0	0	0	70	0	0	71	5

192	assemblage-830-1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	7	0	0	0	0	0	0	0	0	15
192	assemblage-131-377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
192	assemblage-515-702	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	246	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16

193	assemblage-830-1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	7	0	0	0	0	0	0	0	0	15
193	assemblage-131-377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
193	assemblage-338-611	0	0	0	0	0	0	6	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	16	0	0	0	358	0	0	0	0	0	5	0	0	0	0	0	11

194	assemblage-830-1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	7	0	0	0	0	0	0	0	0	15
194	assemblage-284-931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	9	0	0	0	0	0	0	15	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	180	10
194	assemblage-888-383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	12	0	0	0	0	0	0	130	0	0	0	0	6	0	0	70	0	240	0	7

195	assemblage-830-1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	7	0	0	0	0	0	0	0	0	15
195	assemblage-284-931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	9	0	0	0	0	0	0	15	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	180	10
195	assemblage-269-236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	6	0	426	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	5

196	assemblage-830-1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	7	0	0	0	0	0	0	0	0	15
196	assemblage-284-931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	9	0	0	0	0	0	0	15	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	180	10
196	assemblage-499-566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	16	0	0	0	0	0	0	70	0	0	71	5

197	assemblage-830-1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	7	0	0	0	0	0	0	0	0	15
197	assemblage-368-611	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	35	0	0	0	11	0	0	0	148	13	0	0	0	0	12	0	12
197	assemblage-888-383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	12	0	0	0	0	0	0	130	0	0	0	0	6	0	0	70	0	240	0	7

198	assemblage-830-1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	7	0	0	0	0	0	0	0	0	15
198	assemblage-368-611	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	35	0	0	0	11	0	0	0	148	13	0	0	0	0	12	0	12
198	assemblage-269-236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	6	0	426	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	5

199	assemblage-830-1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	7	0	0	0	0	0	0	0	0	15
199	assemblage-368-611	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	35	0	0	0	11	0	0	0	148	13	0	0	0	0	12	0	12
199	assemblage-499-566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	16	0	0	0	0	0	0	70	0	0	71	5

200	assemblage-830-1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	7	0	0	0	0	0	0	0	0	15
200	assemblage-368-611	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	35	0	0	0	11	0	0	0	148	13	0	0	0	0	12	0	12
200	assemblage-338-611	0	0	0	0	0	0	6	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	16	0	0	0	358	0	0	0	0	0	5	0	0	0	0	0	11

201	assemblage-830-1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	7	0	0	0	0	0	0	0	0	15
201	assemblage-368-611	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	35	0	0	0	11	0	0	0	148	13	0	0	0	0	12	0	12
201	assemblage-284-931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	9	0	0	0	0	0	0	15	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	180	10

202	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
202	assemblage-122-380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	435	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	17	0	0	15
202	assemblage-373-944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	457	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	14

203	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
203	assemblage-153-478	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	43	0	0	0	0	235	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
203	assemblage-773-891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	93	0	0	0	7	0	0	0	0	29	0	0	0	0	158	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8

204	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
204	assemblage-757-904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	453	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	13	0	0	17
204	assemblage-373-944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	457	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	14

205	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
205	assemblage-757-904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	453	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	13	0	0	17
205	assemblage-888-383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	12	0	0	0	0	0	0	130	0	0	0	0	6	0	0	70	0	240	0	7

206	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
206	assemblage-757-904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	453	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	13	0	0	17
206	assemblage-269-236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	6	0	426	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	5

207	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
207	assemblage-473-576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	194	0	0	0	0	0	0	78	9	0	0	0	0	0	0	57	0	70	57	18
207	assemblage-888-383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	12	0	0	0	0	0	0	130	0	0	0	0	6	0	0	70	0	240	0	7

208	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
208	assemblage-534-295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	41	0	0	0	0	78	0	0	0	0	0	0	14
208	assemblage-888-383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	12	0	0	0	0	0	0	130	0	0	0	0	6	0	0	70	0	240	0	7

209	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
209	assemblage-515-702	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	246	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
209	assemblage-888-383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	12	0	0	0	0	0	0	130	0	0	0	0	6	0	0	70	0	240	0	7

210	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
210	assemblage-338-611	0	0	0	0	0	0	6	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	16	0	0	0	358	0	0	0	0	0	5	0	0	0	0	0	11
210	assemblage-888-383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	12	0	0	0	0	0	0	130	0	0	0	0	6	0	0	70	0	240	0	7

211	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
211	assemblage-131-377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
211	assemblage-888-383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	12	0	0	0	0	0	0	130	0	0	0	0	6	0	0	70	0	240	0	7

212	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
212	assemblage-131-377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
212	assemblage-358-501	0	0	0	0	43	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	29	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

213	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
213	assemblage-131-377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
213	assemblage-473-576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	194	0	0	0	0	0	0	78	9	0	0	0	0	0	0	57	0	70	57	18

214	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
214	assemblage-131-377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
214	assemblage-499-566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	16	0	0	0	0	0	0	70	0	0	71	5

215	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
215	assemblage-131-377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
215	assemblage-515-702	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	246	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16

216	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
216	assemblage-131-377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
216	assemblage-338-611	0	0	0	0	0	0	6	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	16	0	0	0	358	0	0	0	0	0	5	0	0	0	0	0	11

217	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
217	assemblage-284-931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	9	0	0	0	0	0	0	15	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	180	10
217	assemblage-888-383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	12	0	0	0	0	0	0	130	0	0	0	0	6	0	0	70	0	240	0	7

218	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
218	assemblage-368-611	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	35	0	0	0	11	0	0	0	148	13	0	0	0	0	12	0	12
218	assemblage-888-383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	12	0	0	0	0	0	0	130	0	0	0	0	6	0	0	70	0	240	0	7

219	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
219	assemblage-368-611	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	35	0	0	0	11	0	0	0	148	13	0	0	0	0	12	0	12
219	assemblage-338-611	0	0	0	0	0	0	6	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	16	0	0	0	358	0	0	0	0	0	5	0	0	0	0	0	11

220	assemblage-352-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	437	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
220	assemblage-368-611	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	35	0	0	0	11	0	0	0	148	13	0	0	0	0	12	0	12
220	assemblage-284-931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	9	0	0	0	0	0	0	15	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	180	10

221	assemblage-128-978	0	0	0	0	0	0	0	0	0	0	0	16	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
221	assemblage-122-380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	435	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	17	0	0	15
221	assemblage-373-944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	457	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	14

222	assemblage-128-978	0	0	0	0	0	0	0	0	0	0	0	16	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
222	assemblage-757-904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	453	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	13	0	0	17
222	assemblage-373-944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	457	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	14

223	assemblage-128-978	0	0	0	0	0	0	0	0	0	0	0	16	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
223	assemblage-757-904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	453	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	13	0	0	17
