Seriation_Number	Assemblage	3-4-5505261	3-7651241-3	0-131119-3	0-4897777-9401800	804558-4-3	2-1-5195992	0-6346304-2	2568223-5389311-2	2568223-4645987-5862439	0-7495753-6232714	3-4-7688536	0-4-6228053	6672135-7651241-3	0-3-3814556	5847236-4-9791800	3-4-6557184	1721390-4-9791800	0-4897777-2	987814-4-3	0-7495753-0	6405574-4897777-2	3-9562331-3	3-4-9046252	0-4-2	0-4-1009842	0-4-4119288	900571-4-2	3-4-1095988	0-0-0	0-4897777-9436427	3-4349346-3	2568223-1718276-7044435	0-7951494-2	0-4-9791800	0-3-3	2568223-1718276-2	0-7495753-387731	7992734-7495753-0	0-4897777-407738	4359862-1718276-2	2568223-1718276-5862439	3-7651241-2009279	0-4-2018984	0-7200362-2	2568223-2859637-2	3931207-4-2	9967893-4897777-2	0-7495753-2913827	0-7495753-1399737	3-3232050-3	0-472511-0	3-1-2	4385985-6346304-2	3-4-3	0-1350541-2	2568223-6279082-2	5588813-3-3	2-1-7102769	2568223-1735647-2	880429-1718276-2	2568223-6346304-818286	3-8124535-3	5704664-6346304-2	3-3953124-3	2568223-6346304-2	2568223-4560752-5862439	3-4-4074271	6525770-3-3	0-9146611-3	0-6515896-3	8514549-4-9791800	3-4-3105055	3948169-4-3
83	assemblage-541-439	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	25	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	44	0	0	0	0	0	0	0	17

84	assemblage-838-351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	14	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	17	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
84	assemblage-701-469	0	213	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
84	assemblage-750-626	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20

85	assemblage-838-351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	14	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	17	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
85	assemblage-701-469	0	213	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
85	assemblage-945-540	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	58	0	0	0	0	0	0	0	27

86	assemblage-838-351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	14	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	17	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
86	assemblage-701-469	0	213	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
86	assemblage-371-810	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	220	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	22	0	0	9

87	assemblage-838-351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	14	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	17	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
87	assemblage-701-469	0	213	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
87	assemblage-164-852	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21

88	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
88	assemblage-684-767	0	114	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	231	0	0	0	0	0	20	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	65	0	0	0	0	0	0	0	19
88	assemblage-993-198	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	159	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

89	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
89	assemblage-631-942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	21
89	assemblage-993-198	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	159	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

90	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
90	assemblage-631-942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	21
90	assemblage-684-767	0	114	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	231	0	0	0	0	0	20	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	65	0	0	0	0	0	0	0	19

91	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
91	assemblage-541-439	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	25	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	44	0	0	0	0	0	0	0	17
91	assemblage-993-198	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	159	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

92	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
92	assemblage-750-626	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
92	assemblage-993-198	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	159	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

93	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
93	assemblage-750-626	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
93	assemblage-684-767	0	114	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	231	0	0	0	0	0	20	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	65	0	0	0	0	0	0	0	19

94	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
94	assemblage-750-626	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
94	assemblage-631-942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	21

95	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
95	assemblage-750-626	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
95	assemblage-541-439	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	25	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	44	0	0	0	0	0	0	0	17

96	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
96	assemblage-945-540	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	58	0	0	0	0	0	0	0	27
96	assemblage-993-198	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	159	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

97	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
97	assemblage-945-540	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	58	0	0	0	0	0	0	0	27
97	assemblage-684-767	0	114	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	231	0	0	0	0	0	20	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	65	0	0	0	0	0	0	0	19

98	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
98	assemblage-945-540	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	58	0	0	0	0	0	0	0	27
98	assemblage-541-439	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	25	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	44	0	0	0	0	0	0	0	17

99	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
99	assemblage-164-852	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
99	assemblage-846-341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

100	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
100	assemblage-701-469	0	213	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
100	assemblage-846-341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

101	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
101	assemblage-838-351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	14	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	17	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
101	assemblage-846-341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

102	assemblage-948-531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	253	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	16
102	assemblage-684-767	0	114	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	231	0	0	0	0	0	20	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	65	0	0	0	0	0	0	0	19
102	assemblage-993-198	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	159	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

103	assemblage-948-531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	253	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	16
103	assemblage-631-942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	21
103	assemblage-993-198	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	159	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

104	assemblage-948-531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	253	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	16
104	assemblage-541-439	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	25	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	44	0	0	0	0	0	0	0	17
104	assemblage-993-198	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	159	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

105	assemblage-948-531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	253	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	16
105	assemblage-750-626	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
105	assemblage-993-198	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	159	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

106	assemblage-948-531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	253	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	16
106	assemblage-945-540	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	58	0	0	0	0	0	0	0	27
106	assemblage-993-198	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	159	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

107	assemblage-948-531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	253	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	16
107	assemblage-945-540	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	58	0	0	0	0	0	0	0	27
107	assemblage-541-439	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	25	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	44	0	0	0	0	0	0	0	17

108	assemblage-948-531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	253	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	16
108	assemblage-164-852	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
108	assemblage-846-341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

109	assemblage-948-531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	253	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	16
109	assemblage-648-341	0	0	0	0	0	112	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
109	assemblage-838-351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	14	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	17	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11

110	assemblage-730-776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	14	0	0	0	0	0	14	0	0	0	0	25
110	assemblage-684-767	0	114	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	231	0	0	0	0	0	20	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	65	0	0	0	0	0	0	0	19
110	assemblage-993-198	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	159	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15

111	assemblage-730-776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	14	0	0	0	0	0	14	0	0	0	0	25
111	assemblage-631-942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	21
