Seriation_Number	Assemblage	8747428-3-1	5817790-5514301-9885816	3-3-1642721	3-7661413-1	5817790-5514301-3155459	4812328-4911238-1201087	412298-1389117-7348078	1202764-1-7348078	412298-6024320-7348078	3701711-3797726-7472059	3750475-1545863-2	4020137-1-6611426	412298-1-1863776	3750475-1-7348078	3-4887293-1	7674605-1-7348078	3-2-2	3-3-6833937	6527948-1-7348078	3-3-1	3-3-3	4812328-3-6931415	412298-8001689-7348078	0-1-2	4812328-3-1642721	4750371-1-7348078	3-5514301-9885816	5325197-960067-6611426	808903-5514301-9885816	5109645-1-7348078	3701711-3-7472059	4750371-9626936-6611426	6400441-1-7348078	3750475-1-2	2-4-3	3750475-1-3805113	3-7867265-1	3-5514301-2041369	5817790-8245660-3155459	4812328-3-5249940	4110975-7554510-6611426	3750475-4162886-7348078	1-3407854-4	4812328-3-1201087	412298-1-7348078	7331916-3-1642721	4812328-3-99355	4750371-9626936-2449238	5898407-9626936-6611426	4812328-9514273-1201087	7674605-1-1139042	0-3620350-2	412298-1-2957559	1-4-4	4750371-9626936-4432969	5109645-4787791-7348078	412298-1-8002703	5325197-1-6611426	3423956-3-1201087	4750371-1-6611426	5325197-7554510-6611426	4067697-3-1201087	412298-2874353-7348078	412298-7080700-7348078	1123723-1-6611426	6019964-3-1
216	assemblage-229-409	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	268	0	122	0	0	0	0	0	14
216	assemblage-894-155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	319	0	0	14	0	0	0	0	0	0	0	0	0	0	88	0	11	0	0	0	0	0	13

217	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
217	assemblage-229-409	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	268	0	122	0	0	0	0	0	14
217	assemblage-767-194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	5	0	0	207	0	0	0	0	0	0	0	75	0	0	72	0	0	0	0	0	0	0	7

218	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
218	assemblage-229-409	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	268	0	122	0	0	0	0	0	14
218	assemblage-691-148	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	129	0	0	0	0	13

219	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
219	assemblage-393-178	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	158	0	0	0	0	17
219	assemblage-305-419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	52	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	4	17

220	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
220	assemblage-393-178	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	158	0	0	0	0	17
220	assemblage-598-631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	12	0	0	214	0	0	0	0	0	0	0	61	0	0	68	0	0	0	0	0	0	0	11

221	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
221	assemblage-393-178	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	158	0	0	0	0	17
221	assemblage-894-155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	319	0	0	14	0	0	0	0	0	0	0	0	0	0	88	0	11	0	0	0	0	0	13

222	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
222	assemblage-393-178	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	158	0	0	0	0	17
222	assemblage-767-194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	5	0	0	207	0	0	0	0	0	0	0	75	0	0	72	0	0	0	0	0	0	0	7

223	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
223	assemblage-393-178	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	158	0	0	0	0	17
223	assemblage-691-148	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	129	0	0	0	0	13

224	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
224	assemblage-393-178	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	158	0	0	0	0	17
224	assemblage-229-409	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	268	0	122	0	0	0	0	0	14

225	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
225	assemblage-106-508	0	19	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	99	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	27	0	0	0	0	0	18	0	16	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	23
225	assemblage-305-419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	52	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	4	17

226	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
226	assemblage-106-508	0	19	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	99	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	27	0	0	0	0	0	18	0	16	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	23
226	assemblage-405-159	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	2	0	0	0	0	38	0	0	0	0	0	156	0	0	0	0	21

227	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
227	assemblage-106-508	0	19	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	99	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	27	0	0	0	0	0	18	0	16	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	23
227	assemblage-598-631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	12	0	0	214	0	0	0	0	0	0	0	61	0	0	68	0	0	0	0	0	0	0	11

228	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
228	assemblage-106-508	0	19	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	99	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	27	0	0	0	0	0	18	0	16	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	23
228	assemblage-227-417	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	129	0	0	0	0	0	0	0	0	0	4	15	0	19	0	0	0	0	0	21

229	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
229	assemblage-106-508	0	19	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	99	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	27	0	0	0	0	0	18	0	16	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	23
229	assemblage-894-155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	319	0	0	14	0	0	0	0	0	0	0	0	0	0	88	0	11	0	0	0	0	0	13

230	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
230	assemblage-106-508	0	19	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	99	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	27	0	0	0	0	0	18	0	16	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	23
230	assemblage-767-194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	5	0	0	207	0	0	0	0	0	0	0	75	0	0	72	0	0	0	0	0	0	0	7

231	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
231	assemblage-106-508	0	19	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	99	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	27	0	0	0	0	0	18	0	16	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	23
231	assemblage-691-148	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	129	0	0	0	0	13

232	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
232	assemblage-106-508	0	19	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	99	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	27	0	0	0	0	0	18	0	16	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	23
232	assemblage-229-409	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	268	0	122	0	0	0	0	0	14

233	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
233	assemblage-106-508	0	19	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	99	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	27	0	0	0	0	0	18	0	16	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	23
233	assemblage-393-178	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	158	0	0	0	0	17

234	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
234	assemblage-708-443	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	94	0	0	0	11	0	0	141	0	0	0	0	0	0	33	57	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	24
234	assemblage-305-419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	52	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	4	17

235	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
235	assemblage-708-443	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	94	0	0	0	11	0	0	141	0	0	0	0	0	0	33	57	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	24
235	assemblage-405-159	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	2	0	0	0	0	38	0	0	0	0	0	156	0	0	0	0	21

236	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
236	assemblage-708-443	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	94	0	0	0	11	0	0	141	0	0	0	0	0	0	33	57	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	24
236	assemblage-598-631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	12	0	0	214	0	0	0	0	0	0	0	61	0	0	68	0	0	0	0	0	0	0	11

237	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
237	assemblage-708-443	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	94	0	0	0	11	0	0	141	0	0	0	0	0	0	33	57	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	24
237	assemblage-227-417	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	129	0	0	0	0	0	0	0	0	0	4	15	0	19	0	0	0	0	0	21

238	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
238	assemblage-708-443	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	94	0	0	0	11	0	0	141	0	0	0	0	0	0	33	57	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	24
238	assemblage-894-155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	319	0	0	14	0	0	0	0	0	0	0	0	0	0	88	0	11	0	0	0	0	0	13

239	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
239	assemblage-708-443	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	94	0	0	0	11	0	0	141	0	0	0	0	0	0	33	57	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	24
239	assemblage-767-194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	5	0	0	207	0	0	0	0	0	0	0	75	0	0	72	0	0	0	0	0	0	0	7

240	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
240	assemblage-708-443	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	94	0	0	0	11	0	0	141	0	0	0	0	0	0	33	57	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	24
240	assemblage-691-148	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	129	0	0	0	0	13

241	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
241	assemblage-708-443	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	94	0	0	0	11	0	0	141	0	0	0	0	0	0	33	57	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	24
241	assemblage-955-283	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	35	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	10

242	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
242	assemblage-708-443	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	94	0	0	0	11	0	0	141	0	0	0	0	0	0	33	57	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	24
242	assemblage-229-409	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	268	0	122	0	0	0	0	0	14

243	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
243	assemblage-708-443	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	94	0	0	0	11	0	0	141	0	0	0	0	0	0	33	57	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	24
243	assemblage-393-178	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	158	0	0	0	0	17

244	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
244	assemblage-224-589	0	111	77	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	21	0	193	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	7
244	assemblage-767-194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	5	0	0	207	0	0	0	0	0	0	0	75	0	0	72	0	0	0	0	0	0	0	7

245	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
245	assemblage-157-926	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
245	assemblage-305-419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	52	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	4	17

246	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
246	assemblage-157-926	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
246	assemblage-405-159	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	2	0	0	0	0	38	0	0	0	0	0	156	0	0	0	0	21

247	assemblage-726-448	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	102	0	0	0	9	0	0	146	0	0	0	0	0	0	28	70	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21
